number,title,labels,milestone,body
18,Fine-tune distilroberta-base on a free GPU service,"type:experiment,priority:should",M2 Feasibility baseline,"roberta-base would not load on the laptop. Acceptance: a completed run, notebook committed, checkpointing on."
19,Test SMOTE oversampling on TF-IDF features,"type:experiment,priority:could",M2 Feasibility baseline,"Hypothesis: oversampling improves recall on the minority class. RESULT: negative, macro-F1 0.88 to 0.84. Not used; reported in the methodology."
20,Storyboard the D2 feasibility video,"type:writing,priority:must",M4 D2 video,"Three things to prove: data in hand, pipeline runs, Semester 2 achievable. Acceptance: storyboard committed and approved at supervision."
21,Record the D2 video,"type:writing,priority:must",M4 D2 video,"Screen capture plus voice-over from the script. Acceptance: recorded by 20 November."
22,Edit and check the D2 video,"type:writing,priority:must",M4 D2 video,"Audio levels, legibility, argument survives without the speaker. Acceptance: watched through end to end before submission."
23,Request YelpChi dataset access,"type:admin,priority:could",M5 Semester 2,"BLOCKED pending response. Descoped to Semester 2 on 20 November; Amazon Reviews 2023 is the fallback."
24,"Cross-dataset test: train crowdsourced, test machine-generated","type:experiment,priority:must",M3 D1,"Hypothesis: performance drops. RESULT: 0.88 to 0.61 macro-F1. This is the finding the project turns on."
25,Cross-dataset test: the reverse direction,"type:experiment,priority:must",M3 D1,"Acceptance: rows in results.csv for both directions."
26,Combined-training condition,"type:experiment,priority:should",M3 D1,"Does pooling the corpora close the gap? Acceptance: rows for each held-out test split."
27,Add character n-gram features,"type:experiment,priority:should",M3 D1,"Hypothesis: char n-grams survive distribution shift better than word n-grams. Acceptance: both vectorisers in every condition."
28,Script all figure generation,"type:setup,priority:should",M3 D1,"No hand-edited charts. Acceptance: make figures regenerates every figure from results.csv."
29,Command-line predictor,"type:setup,priority:must",M3 D1,"train / predict / info. Acceptance: trains, saves, reloads and classifies a pasted review."
30,Test suite,"type:setup,priority:must",M3 D1,"Acceptance: tests cover preprocessing, datasets, models, metrics and the CLI, and run with no network access."
31,GitHub Actions CI,"type:setup,priority:should",M3 D1,"Two early runs failed: the workflow tried to load git-ignored data. Acceptance: green on main using committed fixtures, badge in the README."
32,Issue templates for experiments and writing,"type:setup,priority:could",M3 D1,"Makes the issue history usable as an experiment log. Acceptance: both templates in .github/ISSUE_TEMPLATE."
33,Proofread D1 against the rubric,"type:writing,priority:must",M3 D1,"Acceptance: checked against the handbook checklist and the marking rubric."
34,Final check of the D2 video,"type:writing,priority:must",M4 D2 video,"Acceptance: full watch-through, audio and legibility confirmed."
35,Requirements and design sections of D1,"type:writing,priority:must",M3 D1,"MoSCoW table plus traceability matrix; UML component diagram. Acceptance: committed to docs."
36,Assemble the full D1 draft for the supervisor,"type:writing,priority:must",M3 D1,"Internal deadline 12 November, two weeks before the real one. Acceptance: sent by email."
37,Revise D1 after supervisor feedback,"type:writing,priority:must",M3 D1,"Tighten the introduction, add explicit limitations, move two tables to an appendix, date the Semester 2 plan."
38,Verify reproduction from a clean clone,"type:setup,priority:must",M3 D1,"Acceptance: clone on a second machine, follow the README line by line, results reproduce."
39,Submit D1 and D2,"type:admin,priority:must",M3 D1,"Acceptance: both uploaded to Canvas by 24 November, ahead of the 26 November deadline."
40,Cut release v0.2.0-feasibility,"type:setup,priority:must",M3 D1,"Acceptance: tagged after #38 passes, release notes list every issue closed under M3 and M4."
41,Export the issue list as D4 evidence,"type:admin,priority:should",M3 D1,"gh issue list --state all --json, plus the milestone burndown and a board screenshot. Acceptance: committed to docs/06-meetings."
44,SHAP explanations of model decisions,"type:experiment,priority:could",M5 Semester 2,"Moved from Semester 1 on 5 November: a feasibility study does not need it."
45,McNemar significance testing between model pairs,"type:experiment,priority:could",M5 Semester 2,"Dietterich (1998). Moved from Semester 1 with #44."
46,Add a third corpus as a robustness check,"type:experiment,priority:could",M5 Semester 2,"Amazon Reviews 2023. Tests whether the gap holds beyond one pair."
47,Feature ablation across the four feature groups,"type:experiment,priority:could",M5 Semester 2,"Which group carries the performance, and does that change under shift?"
48,Draft the ethics amendment for the user evaluation,"type:admin,priority:must",M5 Semester 2,"Participant information sheet, consent form, data handling. Acceptance: submitted in Week 1 of Semester 2 (risk R6)."
49,Build the demonstrator from the spike branch,"type:setup,priority:must",M5 Semester 2,"Promote spike/streamlit to a proper feature branch with tests and CI. Scheduled first because it carries the ethics dependency."
50,Generate a second machine-generated review set,"type:experiment,priority:must",M5 Semester 2,"A different generator, so the generalisation claim is tested across generators and not only across corpora."
